Schools,URL,Majors,Degree,City,State,Technology,Financial Aid,Logo,Campus Image,Assigned,Virtual Tour,Graduates,Notes
Bluefield State College,https://www.bluefieldstate.edu/,"Accountancy (BS); Business Administration (BS); Civil Engineering Technology (AS, BS); Computer Science (BS); Criminal Justice Administration (BS); Cybersecurity (M); Early & Middle School Education (BS); Electrical Engineering Technology (AS, BS); Engineering Management (BS);  Entrepreneurship (BS); Health Services Management (BS); Mechanical Engineering (AS, BS); Nursing (BA, AS); Radiologic Technology (AS);",Associate of Science; Bachelor of Science; Minor;,Bluefield,West Virginia,Moodle,Almeta H. Martin Endowed Scholarship; Benjamin H. Martin Endowed Scholarship; BOG Auxiliary; BOG Tuition Employee Dependent; BOG Tuition Waiver Academic; BOG Tuition Waiver Athletic; BOG Tuition Waiver Foster Care; BOG Tuition Waiver Mil Depend; Carl P. and Selba Meadows Boyd Scholarship; Broady Family Scholarship; Morgan C. Campbell Scholarship; Cardwell Family Endowed Scholarship; Carter Family Foundation; Cole Harley-Davidson Scholarship; CONSOL Energy Scholarship in Engineering Technology; Stelio and Betty Tracy Corte Endowed Scholarship; Craddock Scholarship Award; Credit Bureau of the Virginias; Douglas F. Crickmer Memorial Scholarship; Dalton Family Scholarship; Brian A. Delp Humanitarian Athletic Scholarship; Brian A. Delp Service Award; Thomas and Charlotte Deskins Scholarship; Dorothy Ann Surface Endowed Scholarship; GED scholarship; George Joseph Featherstone II Annual Scholarship; Bluefield State Foundation Scholarship; Fred Gilbert Endowed Scholarship; Grants Supermarket Endowed Scholarship; Hamilton Hatter Alumni Endowed Scholarship; Frank Hart Endowed Scholarship in Engineering Technology; William S. Height Scholarship; Health Science Waiver; Tom Joyner Scholarship; Prema Natarajan Krishnan Scholarship in Nursing; Krotseng Annual Scholarship; Krotseng Go For Graduation; Lawson Scholarship; Central Area of the Links Inc. Scholarship; Rhonda Grace Linkous Endowed Scholarship; John and Elisabeth MacClarence Scholarship; Massey Scholarship; McConnell Family Scholarship; Martha and Mark Oblinger Scholarship; Billy G. Moore Scholarship; Dr. Patricia A. MULVEY Scholarship; Nannie Pearl Walls Endowed Scholarship; Neighborhood Investment Scholarships; W. Paul Cole Jr. Leadership Scholarship; Pocahontas Electrical and Mining Scholarship; Roy Pruett Jr. Scholarship for Electrical Engineers; John J. & Sheila Belcher Rinehart; Akhtar Safder Scholarship; June Oblinger Shott Scholarship; Greg Shrewsberry Memorial Scholarship; Taylor Family Scholarship; MacClarence Teacher Testing Scholarship; Luther and Mary Ida Vandross Scholarship; Bartlett – Welcker Scholarship; Wellington-Swindall; Mae Jerolee White Scholarship; West Virginia Society of Washington DC Book Scholarship;,,,Nich,https://tour.bluefieldstate.edu/,,black enrollment?
Bowie State University,https://www.bowiestate.edu/,"Addictions Counseling (Certificate); Applied & Computational Mathematics (MS, Certificate); Bioinformatics (BS); Biology (BS); Business Administration (BA, MBA); Chemistry (BS); Child & Adolescent Studies (BS); Communications (BA); Computer Science (BS, MS, Doctorate of Science); Computer Technology (BS); Counseling Psychology (MA); Culturally Responsive Teacher Leadership (M.Ed); Criminal Justice (BS); Database Management/Artificial Intelligence (Certificate); Early Childhood Education (BA); Educational Leadership (Ed.D); Elementary Education (BA, M.Ed); Elementary & Secondary School Administration (M.Ed); English (BA, MA); Fine Arts (BA); Geographical Information Systems & Image Processing (Certificate);  Graphics & User Interface (Certificate); History & Government (BA); Human Resource Development (MA); Information Syatems Analyst (Certificate); Management Information Systems (MS); Mathematics (BS); Mental Health (MA); Networks & Distributed Systems (Certificate); Nursing (BS, MSN); Organizational Communications (MA, Certificate); Project Management (Certificate);  Psychology (BA); Psychotherapy (Certificate); Public Administration (MPA, Certificate); Reading Education (M.Ed); Science Education (BA); Scientific Software Development (Certificate); School Counseling (M.Ed); School Psychology (MA, Certificate); Secondary Education (M.Ed); Social Justice (BA); Social Work (BA); Sociology(BA); Software Engineering (Certificate); Special Education (BA, M.Ed); Sport Management (BS); Teaching (MAT); Theatre Arts (BA); Visual Communication & Digital Media Arts (BA); ",Bachelor of Arts; Bachelor of Science; Masters of Arts; Certificate,Bowie,Maryland,Dual Enrollment;,Academic Scholarship; Band Scholarship; BSU National Alumni Association; BSU Associate of Arts in Teaching; Conroy Scholarship; First Generation College Student Scholarship; Golden Flame Scholarship; Richard W. Collins III Leadership with Honor Scholarship; TEACH grant; Work Study;,,,Nich,,,
Central State University,http://www.centralstate.edu/index.php,"Accounting (BS), Africana Studies (BA); Agricultural Education (BS); Business Administration (BA, BS); Computer Science (BS); Criminal Justice (BA); Early Childhood Education (BA); English (BA); Environmental Engineering (BS); Exercise Science (BS); Food Science (BS); Graphic Design (BA); Gerontology (BA); History (BA); International Languages and Literatures (BA); Industrial Technology (BS); Integrated Language Arts Education (BA); Integrated Language Mathematics Education (BA); Integrated Language Social Studies Education (BA); Intervention Specialist (BA); Jazz Studies (BA); Journalism and Mass Communication (BA); Life Science Education (BA); Manufacturing Engineering (BS); Mathematics (BS); Middle Childhood Education (BA); Philosophy and Religion (BA); Physical Science Education (BA); Political Science (BA); Psychology (BA); Recreation (BA); Sociology (BA); Social Work (BA); Studio Art (BA); Sustainable Agriculture (BS); Music Education (BA); Music Performance (BA); Theatre (BA); Water Resources Management (BS);",Bachelor of Art (BA); Bachelor of Science (BS); ,Wilberforce,Ohio,Hype,,,,Nich,,,
Cheyney University of Pennsylvania,http://www.cheyney.edu/,"Biology (BS); Business Administration (BS); Computer & Information Science (BS); Communications (BA); Early Childhood Education (BS); Early Childhood and Special Education (BS); English (BA); Fine Arts (BA); Graphic Design (BS); Hotel, Restaurant and Tourism Management (BS); Liberal Studies (BA); Mathematics (BS); Psychology (BA); Recreation and Leisure Management (BS); Social Relations (BA);",Bachelor of Art (BA); Bachelor of Science (BS); ,Cheyney,Pennsylvania,Gen Ed,State Scholarship Waivers; TEACH Grant; Work Study;,,,Nich,,,
Claflin University,http://www.claflin.edu/,"African and African-American Studies (BA); Art Education (BA); Biochemistry (BS); Bioinformatics (BS); Biology (BS); Biotechnology (BS, MS); Business Administration (BS, MBA, O-MBA); Chemistry (BS); Computer Engineering (BS); Computer Science (BS); Criminal Justice (BA, O-BA, MS); Curriculum & Instruction (M.Ed, O-M.Ed); Digital Design (BA); Early Childhood Education (BS); Elementary Education (BS); English (BA); English Education (BA); Environmental Science (BS); Foreign Language (BA); Human Performance and Recreation (BS); Management (BS); Management Information Science (BS); Marketing (BS); Mass Communication (BA); Mathematics (BS); Mathematics Education (BS); Middle Level Education (BS); Music (BA); Music Education (BA); Nursing (BS, O-BS); Organizational Management (BS, O-BS); Philosophy & Religion (BA); PK-12 and Secondary Education (BS); Political Science (BA); Psychology (BA, O-BA); Sociology (BA); Sport Management (BS); Studio Art (BA);","Bachelor of Art (BA); Bachelor of Science (BS); Online – BA; Master of Business (MBA), Masters of Education (M.Ed), Masters of Science (MS), Online – BS; Online – MBA; Online – M.Ed;",Orangeburg,South Carolina,Moodle,Work-Study; Veterans' Assistance,,,Nich,,,
Clark Atlanta University,http://www.cau.edu/,"Accounting (BA, MA); Africana Women's Studies (BA, MA, PhD); African American Studies (BA, MA, PhD); Art (BA); Art History (BA, MA); Biology (BA, MA, PhD); Business Administration (BA, MBA); Chemistry (BS); Clinical Mental Health (MA); Computer and Information Systems (BA, MA); Computer Science (BS); Counseling (BA);Cyber-Physical Systems (BS, MS, BS/MS) Cybersecurity (BA, MA); Criminal Justice (BS); Early Childhood Education (MA, Ed.S, Ed.D); Economics (BA, MA); Educational Leadership (BA); Educational Studies (MA); Engineering/Dual Degree (BA, MA, PhD); English (BA); Fashion Design and Merchandising (BA); History (BA, MA, PhD); Industrial Chemistry (BA, MA); Mass Media Arts (MA); Mathematics (BA, MA); Music (BA, MA, PhD); Philosophy (BA); Physics (BA, MPA); Political Science (BA); Psychology (BA, MA); Public Administration (BA); Religion (BA); School Counseling (MAT); Secondary Education Math (MA); Secondary Education Science (MAT); Social Work (BSW, MSW, PhD); Sociology (BA); Speech Communication (BA); Special Education (MA); Theatre Arts (BA);",Bachelor of Art (BA); Bachelor of Science (BS); Bachelor in Social Work (BSW); Doctor of Philosophy (Ph.D); Master of Business (MBA); Masters of Science (MS); Masters of Art (MA); Masters of Arts in Teaching (MAT); Master in Social Work (MSW); Specialist (Ed.S);,Atlanta,Georgia,,,,,Nich,,,
Clinton Junior College,https://www.clintoncollege.edu/,"Business Administration (AS, BS); Early Childhood Development (AA); Liberal Arts (AA); Religious Studies (AA, BA); Biology (BS); Natural Sciences (AS); ",Associate of Arts (AA); Associate of Science (AS); Bachelor of Art (BA);,Rock Hill,South Carolina,,"Veterans, Work Study",,,Nich,,,
Coahoma Community College,http://www.coahomacc.edu/,"Accounting Technology (AA, CC, CT); Automotive Technology (AS); Barber (AA, CC); Brick, Block, and Stone Masonry (AA); Carpentry (AA, CT); Collision Repair Technology (AA); Computer Servicing Technology (CT); Cosmetology (AA, CC); Culinary Arts (AA); Early Childhood Education Technology (AA); Health-care Data Technology Medical Billing and Coding (AA, CC, CT); Hotel and Restaurant Management Technology (AA); Industrial Maintenance Technology (AA); Office Systems Technology (AA, CC, CT); Welding and Cutting Technology (AA);",Associate of Science (AS); Career Certificate (CC); Certificate of Technical (CT); ,Clarkdale,Mississippi,"Canvas, Dual Enrollment",,,,Nich,,,
Concordia College-Selma,http://www.concordiaselma.edu/,,,Selma,Alabama,,,,,Nich,,,
Coppin State University,https://www.coppin.edu/,"Accounting (BS); Adult & Continuing Education (MS); Alcohol and Substance Abuse Counseling (MS); Applied Psychology (BS); Biology (BS); Chemistry (BS); Computer Science (BS); Contemporary Educational Leadership (M.Ed); Criminal Justice (BS); Criminal Justice and Law Enforcement (MS); Curriculum and Instruction (M.Ed); Dance (BS); Early Childhood Child Care (BS); Early Childhood Human Development (BS); Elementary Education (BS); English (BA); Forensic Investigation (Certificate); Global Studies (BA); Health Information Management (BS); Health Sciences (BS); History (BS); Histo-technology (BS); Human Services Administration (MS); Interdisciplinary Studies (BS); Investigative Sciences (Certificate); Management (BS); Management and Marketing (O-BS); Management Information Systems (BS); Marketing (BS); Mathematics (BS); Nonprofit Leadership (BS); Nursing (BS, BSA, MS, DNP); Political Science (BS); Reading (MS); Rehabilitation Counseling (M.Ed); Rehabilitation Services (BS); Social Science (BS); Social Work (BS); Special Education (BS, M.Ed); Sport Management (BS); Teaching (MA); Urban Arts (BS); Urban Studies (BS);",Bachelor of Science (BS); BS Accelerated (BSA); Doctor of Nursing Practice (DNP); Masters of Art (MA); Masters Masters of Education (M.Ed); Masters of Science (MS); Online – BS;  ,Baltimore,Maryland,Pearson Learning Solutions; Skype; Lync; Blackboard; Tegrity,"Alumni Association Scholarship, Athletic Scholarships, Delores E. Hunter Endowed Scholarship Fund, Honors, India Continental, Maxie Collier Program, Merit Awards, Nursing Awards, Private Scholarships, ROTC, Rehabilitation Services Administration, Senior Opportunity Scholarship (SOS), TEACH, Veterans, Work Study",,,Nich,,,
Delaware State University,https://www.desu.edu/,"Accounting (BS); Africana Studies (BS); Agriculture: Agri-Business (BS); Agriculture: Agriscience Education (BS); Agriculture: Animal Science (BS); Agriculture: Animal Science (MS); Agriculture: Equine Business Management (BS); Agriculture: General Agriculture (BS); Agriculture Plant Science (MS); Agriculture: Plant Science: Agronomy (BS); Agriculture: Plant Science: Horticulture (BS); Agriculture: Pre-Veterinary Science (BS); Applied Chemistry (MS); Applied Optics (MS); Art Education (BA); Aviation: Aviation Management (BS); Aviation Professional Pilot (BS); Biological Sciences (MS); Biological Sciences: Bioinformatics (BS); Biological Sciences: General Biology (BS); Biological Sciences: Health Professions (BS); Biological Sciences: Research Professions (BS); Business Administration: Business Analytics (MBA); Business Administration: CPA (MBA); Business Administration: Finance (MBA); Business Administration: Information Systems (MBA); Chemistry (BS); Chemistry for Health Professionals (BS); Computer Science (BS); Computer Science (MS); Criminal Justice (BA); Dual-Title MA TESOL/Bilingual Education and M. Ed. in Educational Leadership (M.Ed.); Early Childhood Education (Birth-2) (BS); Educational Leadership (M.Ed.); Educational Leadership: Higher Education (Ed.D.); Educational Leadership: K-12 (Ed.D); Elementary Education (K-6); Engineering Physics: Bioengineering (BS); Engineering Physics: Optical Engineering (BS); English (BA); Finance: Financial Economics (BS); Food and Nutritional Sciences: Didactic Program in Dietetics (BS); Food and Nutritional Sciences: Food Science (BS); Food and Nutritional Sciences: Nutritional Science (BS); Food and Nutritional Sciences: Pre-Allied Health Sciences (BS); Food and Nutritional Sciences: Pre-Medicine and Pre-Physician Assistant (BS); Food Science and Biotechnology: Biotechnology (MS); Food Science and Biotechnology: Food Chemistry (MS); Food Science and Biotechnology: Food Microbiology (MS); Forensic Biology (BS); History (BA); Hospitality and Tourism Management: Casino Management (BS); Information Technology (BS); Integrated Studies (BS); Kinesiology (BS); Management: Business Analytics (BS); Management: General Management (BS); Management: Human Resource Management (BS); Management: Management Information Systems/ERP (BA); Management: Marketing (BS); Mass Communication: Convergence Journalism (BA); Mass Communication: Digital Media Arts (BA); Mass Communication: Public Relations & Advertising (BA); Mathematics Education (BS); Mathematics, Applied (MS); Mathematics, Pure (MS); Mathematics: Data Analytics (BS); Middle Level Education (6-8) (BS); Molecular and Cellular Neuroscience (MS); Music Education: Instrumental (BA); Music Education: Vocal (BA); Music Industry (BA); Music Instrumental (BA); Music Vocal (BA); Natural Resources (MS); Natural Resources: Environmental Science (BS); Natural Resources: Fisheries Management (BS); Natural Resources: Wildlife Management (BS); Neuroscience (PhD); New Media in Art (BA); Nursing (BA); Nursing, MSN: Global Leadership (MSN); Nursing, MSN: Nursing Education (MSN); Optics (PhD); Physical Education (BS); Physics, BS (BS); Physics MS (MS); Political Science (BA); Psychology (BS); Public Administration (MPA); Public Health (BS); Social Work, BSW (BSW), Social Work, MSW (MSW); Sociology (BA); Sport Administration (MSA); Sport Management (BS); Studio Art (BA); TESOL (Teaching English to Speakers of Other Languages/Bilingual Education) (MA); Textile and Apparel Studies: Fashion Merchandising (BS)",,Dover,Delaware,Pearson Learning Solutions,Inspire Scholarship; DSU GAP; Visual & Performing Arts; Academic Partial & Full,,,Chris,,,
Denmark Technical College,http://www.denmarktech.edu/,"Administrative Office Technology (AAS); Computer Technology (AAS); Criminal Justice Technology (AAS); Early Care & Education (AAS); Electromechanical Engineering Technology (AAS); Business Administration (AAS); General Technology (AAS); Human Services (AAS); Administrative Support (Diploma In Applied Science); Barbering (Diploma In Applied Science); Cosmetology (Diploma In Applied Science); Practical Nursing (Diploma In Applied Science); Accounting (Certificate In Applied Science); Building Construction Fundamentals (Certificate In Applied Science); Computer Servicing & Repair (Certificate In Applied Science); Criminal Justice (Certificate In Applied Science); Culinary Arts (Certificate In Applied Science); Cybersecurity (Certificate In Applied Science); Early Childhood Development (Certificate In Applied Science); Entrepreneurship/Small Business Management (Certificate in Applied Science); General Studies (Certificate In Applied Science); Nurse Aide Assistant (Certificate In Applied Science); Plumbing (Certificate In Applied Science); Pre-Medical (Certificate In Applied Science); Welding (Certificate In Applied Science); Word Processing (Certificate In Applied Science);
",,Denmark,South Carolina,"SCTechConnect
",STEM Scholarships; Presidential Scholarships; Vice-Presidential Scholarships; Deans Scholarships; ZipRecruiter Scholarships,,,Chris,,,
Dillard University,http://www.dillard.edu/,"English (BA); Film (BA); Food Studies (minor); Mass Communication (BA); Music (BA); Theatre Arts (BA); Visual Arts (BA); Public Health (BS); Biology (BS); Chemistry (BA/BS); Computer Science (BS); Mathematics and Actuarial Science (BS), Physics (BS); Criminal Justice (BA); Political Science (BA); Psychology (BA); Social Work (BA); Urban Studies and Public Policy (BS); Accounting (BS); Financial Economics (BS); Business Administration (BS); Nursing (RN to BSN); Nursing (LPN to BSN)", BA; BS; BSN,New Orleans,Louisiana,BLEU4ed ; MERLOT; OLC; USDLA,All Outside Scholarships; use: www.aie.org/coaching,,,Chris,,,
Edward Waters College,https://www.ewc.edu/,Biology (BS); Business Administration (BBA); Criminal Justice (BA); Communications (BS); Psychology (BA),BA; BBA; BS;,Jacksonville,Florida,N/A,"INSTITUTIONAL SCHOLARSHIPS: Honors Scholarship ; Merit Scholarship ; Transfer Scholarship ; Freshman Grant ; Talent-Based Scholarship ; Athletic Scholarship

",,,Chris,,,
Elizabeth City State University,http://www.ecsu.edu/,"Computer Science (BS) ; Criminal Justice (BS) ; Emergency Management (BS) ; Engineering Technology (BS) ; English (BA) ; History (BA) ; Interdisciplinary Studies (BA)  ; Mathematics (BS); Music (BA) ; Social Work (BSW) ; Sociology (BA); Mathematics Education (MS) ; Applied Mathematics (MS) ; Community College Teaching (MS) ; Remote Sensing (MS) ;

",BA ; BS ; BSW ; MS,Elizabeth City,North Carolina,Blackboard ; Echo360 ,"Chancellor’s Academic Scholarship; UNC Campus Based Scholarship ; Federal Work Study 
",,,Chris,,,
Fayetteville State University,https://www.uncfsu.edu/,"Accounting (BS); Accounting Risk Management and Insurance Concentration (BS); Banking and Finance (BS); Biology Biotechnology and Molecular Biology Concentration (BS); Biology Organismal Biology Concentration (BS); Biology Plant Sciences Concentration (BS); Birth through Kindergarten Non-Teaching (BS); Business Administration Entrepreneurship Concentration (BS); Business Administration General Business Concentration (BS); Business Administration Healthcare (BS); Business Administration Management Concentration (BS); Business Administration Information Systems Business Analytics (BS); Business Administration Marketing (BS); Chemistry with a concentration in Biochemistry (BS); Chemistry with a concentration in Chemistry Entrepreneurship (BS); Chemistry with a concentration in General Chemistry (BS); Chemistry with a concentration in Pre-Health (BS); Chemistry with a concentration in Materials Science (BS); Chemistry with a concentration in Pre-Health (BS); Chemistry with a concentration in Pre-Pharmacy (BS); Communication (BA); Computer Science (BS); Criminal Justice (BS); Elementary Education Core Academic Studies Concentration (BS); Elementary Education English Concentration (BS); Elementary Education Health Concentration (BS); Elementary Education History Concentration; Elementary Education Mathematics (BS); Elementary Education Psychology Concentration (BS); Elementary Education Reading Concentration (BS); Elementary Education Sociology Concentration (BS); Elementary Education Spanish Concentration (BS); Elementary Education Special Education Concentration (BS); Elementary Education Teaching English as a Second Language Concentration (BS); English Language and Literature (BA); English  Language and Literature Creative and Professional Writing Concentration (BA); English Language and Literature Pre-Law Concentration (BA); English Language and Literature Teaching License Concentration (BS); Fire and Emergency Services Administration (BS); Forensic Science Biology Concentration (BS); Health and Physical Education (BS); Health and Physical Education Non-Teaching Community Health (BS); Health and Physical Education Non-Teaching Sports Management (BS):  Healthcare Administration (BS); Healthcare Administration Risk Management and Insurance (BS); History (BA); Information Systems and Business Analytics (BS); Intelligence Studies (BA); Mathematics (BS); Mathematics Teaching Licensure Concentration (Secondary Education 9-12) (BS); Middle Grades Education Language Arts Concentration (BS); Middle Grades Education Mathematics Concentration (BS); Middle Grades Education Science Concentration (BS); Middle Grades Education Social Studies Concentration (BS); Music Instrumental Studies Concentration (BA); Music Video Studies Concentration (BA); Nursing Generic Four Year Track (BS); Nursing RN to BSN Track (BS); Political Science (BA); Political Science Environmental Politics and Policy (BA); Political Science Public Administration (BA); Professional Studies (BA); Psychology (BS); Social Work (BSW); Sociology (BA); Spanish (BA); Spanish Teaching (BS); Theatre (BA); Visual Arts Digital Art Concentration (BA); Visual Arts, Studio Art Concentration (BA)",BA ; BS ; BSN ; BSW ; ,Fayetteville,North Carolina,Canvas ; Upswing ; Respondus ; Zoom ; Microsoft Teams ,"Chancellor’s Special Talent Scholarship ; Dr. Valeria Fleming STEM Scholarship
",,,Chris,,,
Fisk University,https://www.fisk.edu/,Art (BS); Biology (BA/MA); Biochemistry and Molecular Biology (BS); Business Administration (BS); Chemistry (BS); Computer Science (BS); English (BA); History (BA); Mathematics (BA); Music - Music Education (BA/BS/BM); Physics (BA/BS/MA); Political Science (BA); Psychology (BA/MA); Sociology (BA); Spanish (BA); Special Education (BA)),"BA ; BS ; BSN ; BSW ; 
",Nashville,Tennessee,MERLOT ; OPENSTAX ; ,"Erastus Milo Cravath Presidential Scholarship ; Fisk Outstanding Scholars & Leaders Award ; Ella Sheperd Moore Provost Scholarship ;  Fisk Award for Music Majors ; Fisk University Athletic Scholarship 
",,,Chris,,,
